epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6127,0.96835,2.82617,1.1019,0.00333,1,0.93192,0.74848,0.68464,3.14494,0.96628,8e-05,8e-05,8e-05
2,61.8326,0.91991,1.97562,1.05643,0.00333,1,0.995,0.80206,0.69873,2.77711,0.98045,0.000178218,0.000178218,0.000178218
3,83.9988,0.88427,1.28127,1.03742,0.97759,1,0.995,0.80089,0.81907,2.4509,1.03665,0.000274456,0.000274456,0.000274456
4,107.881,0.97458,1.40165,1.09605,0.95816,1,0.995,0.77627,0.78478,2.62822,0.99277,0.000368714,0.000368714,0.000368714
5,130.252,0.92556,1.23185,1.02612,0.95931,1,0.995,0.75818,0.92111,2.53752,1.06586,0.000460992,0.000460992,0.000460992
6,152.573,1.00183,1.2544,1.08505,0.97304,1,0.995,0.79283,0.84663,2.31212,1.10706,0.00055129,0.00055129,0.00055129
7,174.27,0.85735,1.10869,1.0257,0.98716,1,0.995,0.79008,0.84148,1.95928,1.05789,0.000639608,0.000639608,0.000639608
8,196.254,0.87473,1.12096,1.0058,0.98241,1,0.995,0.76175,0.91065,2.25115,1.06494,0.000725946,0.000725946,0.000725946
9,219.489,0.91046,1.20859,1.03043,0.97818,1,0.995,0.75745,0.79931,2.50362,1.02286,0.000810304,0.000810304,0.000810304
10,242.723,0.94688,1.14907,1.06447,0.97019,1,0.995,0.75643,0.8487,2.35584,1.03964,0.000892682,0.000892682,0.000892682
11,265.386,0.95345,1.07963,1.03872,0.98556,1,0.995,0.76484,0.82423,1.93771,1.07703,0.00097308,0.00097308,0.00097308
12,287.75,0.95263,1.06733,1.03514,0.99249,1,0.995,0.76575,0.89277,1.58489,1.11849,0.0010515,0.0010515,0.0010515
13,310.253,0.93474,1.01268,1.00464,0.99125,1,0.995,0.76256,0.90511,1.63419,1.08068,0.00112794,0.00112794,0.00112794
14,333.733,0.97328,1.10267,1.06193,0.98798,1,0.995,0.71974,1.09353,1.66522,1.19019,0.00120239,0.00120239,0.00120239
15,355.917,0.95723,1.09149,1.06304,0.98985,1,0.995,0.79579,0.9159,1.63445,1.04778,0.00127487,0.00127487,0.00127487
16,377.235,0.93509,1.04325,1.05604,0.90625,0.96871,0.97682,0.58132,1.27788,2.21904,1.25265,0.00134537,0.00134537,0.00134537
17,399.138,1.0319,1.04807,1.08292,0.99543,1,0.995,0.79107,0.83486,1.32067,1.03742,0.00141389,0.00141389,0.00141389
18,421.507,0.99597,1.00588,1.06967,0.99535,1,0.995,0.83079,0.77296,1.26313,1.01783,0.00148043,0.00148043,0.00148043
19,443.599,0.8939,0.97791,1.05395,0.99475,1,0.995,0.78936,0.8471,1.18433,1.04928,0.00154498,0.00154498,0.00154498
20,465.356,0.93435,0.97327,1.05045,0.99372,1,0.995,0.81607,0.88148,1.25671,1.08023,0.00160756,0.00160756,0.00160756
21,487.055,0.87734,0.95996,1.00408,0.99487,1,0.995,0.77932,0.85055,1.13865,1.05649,0.001604,0.001604,0.001604
22,509.611,0.95969,0.93093,1.05141,0.99431,1,0.995,0.77427,0.87224,1.06969,1.04744,0.0015842,0.0015842,0.0015842
23,531.902,0.91372,0.87783,1.03933,0.99462,1,0.995,0.7887,0.86385,1.09733,1.04131,0.0015644,0.0015644,0.0015644
24,556.188,0.87994,0.85211,1.02501,0.9939,1,0.995,0.76637,0.84433,1.00578,1.06386,0.0015446,0.0015446,0.0015446
25,581.068,0.89747,0.79367,1.03084,0.99436,1,0.995,0.8025,0.79119,0.92229,1.02178,0.0015248,0.0015248,0.0015248
26,602.802,0.91595,0.83397,1.04851,0.99312,1,0.995,0.80409,0.79999,0.92215,1.02153,0.001505,0.001505,0.001505
27,624.508,0.88536,0.80842,1.0201,0.99215,1,0.995,0.76457,0.88034,1.06725,1.05091,0.0014852,0.0014852,0.0014852
28,648.564,0.90002,0.7947,1.02554,0.99296,1,0.995,0.758,0.92305,1.04178,1.096,0.0014654,0.0014654,0.0014654
29,670.555,0.89603,0.79123,1.00372,0.99307,1,0.995,0.76655,0.90309,1.10161,1.08092,0.0014456,0.0014456,0.0014456
30,692.914,0.8735,0.74725,1.03506,0.99431,1,0.995,0.77914,0.90176,0.95615,1.06536,0.0014258,0.0014258,0.0014258
31,715.868,0.87907,0.73382,1.00668,0.9942,1,0.995,0.77576,0.87309,0.84954,1.06267,0.001406,0.001406,0.001406
32,737.863,0.88178,0.6845,1.0456,0.99056,1,0.995,0.76248,0.88012,0.89808,1.07682,0.0013862,0.0013862,0.0013862
33,760.845,0.92836,0.72522,1.0474,0.98981,1,0.995,0.77053,0.8849,0.9379,1.05913,0.0013664,0.0013664,0.0013664
34,783.453,0.88578,0.72608,1.01166,0.99084,1,0.995,0.79752,0.86061,1.01673,1.0159,0.0013466,0.0013466,0.0013466
35,805.203,0.87399,0.71377,1.0122,0.99231,1,0.995,0.77503,0.86815,0.9743,1.01488,0.0013268,0.0013268,0.0013268
36,827.155,0.91529,0.71311,1.03522,0.99079,1,0.995,0.81246,0.85727,0.83348,1.02832,0.001307,0.001307,0.001307
37,849.273,0.8737,0.66995,1.01026,0.99225,1,0.995,0.79498,0.89226,0.78452,1.05071,0.0012872,0.0012872,0.0012872
38,872.702,0.83899,0.64733,1.02166,0.99265,1,0.995,0.78393,0.81339,0.77831,1.02822,0.0012674,0.0012674,0.0012674
39,894.39,0.80229,0.61797,0.98344,0.99386,1,0.995,0.82307,0.77205,0.72652,1.00653,0.0012476,0.0012476,0.0012476
40,916.231,0.83523,0.68413,1.0016,0.99421,1,0.995,0.81861,0.75558,0.62889,0.9897,0.0012278,0.0012278,0.0012278
41,940.092,0.95168,0.69991,1.04974,0.99418,1,0.995,0.8136,0.79084,0.67964,0.99745,0.001208,0.001208,0.001208
42,963.174,0.83417,0.61869,0.96857,0.99384,1,0.995,0.79087,0.81431,0.66285,1.01832,0.0011882,0.0011882,0.0011882
43,983.922,0.83626,0.67929,1.00952,0.99394,1,0.995,0.79527,0.81938,0.65113,1.02486,0.0011684,0.0011684,0.0011684
44,1005.21,0.80014,0.61263,0.9833,0.99384,1,0.995,0.80224,0.84175,0.64232,1.01886,0.0011486,0.0011486,0.0011486
45,1029.04,0.90709,0.65991,1.06731,0.99115,1,0.995,0.80224,0.83822,0.6858,1.01176,0.0011288,0.0011288,0.0011288
46,1053.15,0.83144,0.60347,0.9623,0.99072,1,0.995,0.81201,0.83357,0.68067,1.01138,0.001109,0.001109,0.001109
47,1075.19,0.8208,0.60104,0.99947,0.99197,1,0.995,0.81475,0.81073,0.64886,1.01136,0.0010892,0.0010892,0.0010892
48,1097.13,0.92931,0.62509,1.05779,0.9946,1,0.995,0.787,0.79573,0.59614,0.98892,0.0010694,0.0010694,0.0010694
49,1118.97,0.88492,0.60557,1.03846,0.99413,1,0.995,0.80233,0.8352,0.59925,0.99861,0.0010496,0.0010496,0.0010496
50,1140.87,0.80951,0.60891,1.00096,0.99397,1,0.995,0.79798,0.9122,0.70042,1.02609,0.0010298,0.0010298,0.0010298
